"","CNTRY_NAME","mean_lights_weighted","mean_cvg_weighted"
"0","Aruba",33.0240135192871,0
"1","Antigua and Barbuda",9.40442562103271,0
"2","Afghanistan",0.0904737114906311,0
"3","Algeria",0.437555968761444,0
"4","Azerbaijan",1.93548786640167,0
"5","Albania",1.89951944351196,0
"6","Armenia",1.36716997623444,0
"7","Andorra",18.2022666931152,0
"8","Angola",0.0519305914640427,0
"9","American Samoa",11.5120105743408,0
"10","Argentina",0.610375702381134,0
"11","Australia",0.155974820256233,0
"12","Austria",6.90972948074341,0
"13","Anguilla",13.1828641891479,0
"14","Antarctica",0.00331775355152786,0
"15","Bahrain",40.2856521606445,0
"16","Barbados",25.8306732177734,0
"17","Botswana",0.0831106901168823,0
"18","Bermuda",33.1778106689453,0
"19","Belgium",25.1845169067383,0
"20","Bahamas, The",1.68235981464386,0
"21","Bangladesh",1.82649147510529,0
"22","Belize",0.728716611862183,0
"23","Bosnia and Herzegovina",3.49111557006836,0
"24","Bolivia",0.135003581643105,0
"25","Myanmar (Burma)",0.112035810947418,0
"26","Benin",0.150164633989334,0
"27","Byelarus",1.81449031829834,0
"28","Solomon Islands",0.0132378907874227,0
"29","Brazil",0.62093061208725,0
"30","Bhutan",0.138747215270996,0
"31","Bulgaria",3.30483722686768,0
"32","Bouvet Island",0.200790241360664,0
"33","Brunei",5.66672658920288,0
"34","Burundi",0.107728868722916,0
"35","Canada",0.733419001102448,0
"36","Cambodia",0.0767623707652092,0
"37","Chad",0.00746882148087025,0
"38","Sri Lanka",3.2904896736145,0
"39","Congo",0.127916291356087,0
"40","Zaire",0.024442870169878,0
"41","China",1.32299995422363,0
"42","Chile",0.614487707614899,0
"43","Cayman Islands",16.1834831237793,0
"44","Cocos (Keeling) Islands",0.248568341135979,0
"45","Cameroon",0.071324810385704,0
"46","Comoros",0.557448863983154,0
"47","Colombia",0.71023952960968,0
"48","Northern Mariana Islands",18.5804538726807,0
"49","Costa Rica",2.94717240333557,0
"50","Central African Republic",0.003836051793769,0
"51","Cuba",1.55954098701477,0
"52","Cape Verde",1.63336336612701,0
"53","Cook Islands",2.18840885162354,0
"54","Cyprus",9.77730751037598,0
"55","Denmark",7.77528095245361,0
"56","Djibouti",0.122340507805347,0
"57","Dominica",2.07541632652283,0
"58","Jarvis Island",0,0
"59","Dominican Republic",2.84353065490723,0
"60","Ecuador",1.65777719020844,0
"61","Egypt",1.80777907371521,0
"62","Ireland",5.59146881103516,0
"63","Equatorial Guinea",0.134118854999542,0
"64","Estonia",2.64200830459595,0
"65","Eritrea",0.0623938925564289,0
"66","El Salvador",4.4802393913269,0
"67","Ethiopia",0.0468771420419216,0
"68","Czech Republic",11.4630546569824,0
"69","French Guiana",0.118825376033783,0
"70","Finland",4.67286682128906,0
"71","Fiji",0.629904687404633,0
"72","Falkland Islands (Islas Malvinas)",0.0721320956945419,0
"73","Federated States of Micronesia",1.39958727359772,0
"74","Faroe Islands",3.94946599006653,0
"75","French Polynesia",3.24588704109192,0
"76","Baker Island",0,0
"77","France",8.25815677642822,0
"78","French Southern & Antarctic Lands",0.1897292137146,0
"79","Gambia, The",0.279846370220184,0
"80","Gabon",0.249686121940613,0
"81","Georgia",0.753419935703278,0
"82","Ghana",0.484776258468628,0
"83","Gibraltar",49.9401092529297,0
"84","Grenada",7.09711122512817,0
"85","Guernsey",22.3984336853027,0
"86","Greenland",0.00283971056342125,0
"87","Germany",11.0718374252319,0
"88","Glorioso Islands",0,0
"89","Guadeloupe",14.0871505737305,0
"90","Guam",26.1218643188477,0
"91","Greece",5.42158603668213,0
"92","Guatemala",1.53640723228455,0
"93","Guinea",0.0397519841790199,0
"94","Guyana",0.0541126169264317,0
"95","Gaza Strip",34.7790298461914,0
"96","Haiti",0.25602126121521,0
"97","Heard Island & McDonald Islands",1.43465292453766,0
"98","Honduras",1.10377395153046,0
"99","Howland Island",0,0
"100","Croatia",6.74655485153198,0
"101","Hungary",5.62879848480225,0
"102","Iceland",0.654777348041534,0
"103","Indonesia",0.773112237453461,0
"104","Man, Isle of",7.85556888580322,0
"105","India",2.63200187683105,0
"106","British Indian Ocean Territory",10.8595733642578,0
"107","Iran",2.41934251785278,0
"108","Israel",17.5182952880859,0
"109","Italy",14.0842638015747,0
"110","Ivory Coast",0.367848783731461,0
"111","Iraq",1.92036974430084,0
"112","Japan",11.6927690505981,0
"113","Jersey",19.3322868347168,0
"114","Jamaica",7.78470993041992,0
"116","Jordan",2.21775937080383,0
"117","Johnston Atoll",0,0
"118","Juan De Nova Island",0,0
"119","Kenya",0.11450556665659,0
"120","Kyrgyzstan",0.491672486066818,0
"121","North Korea",0.192485228180885,0
"122","Kiribati",0.196091011166573,0
"123","South Korea",15.7924098968506,0
"124","Christmas Island",2.92813277244568,0
