"","CNTRY_NAME","mean_lights_weighted","mean_cvg_weighted"
"0","Aruba",32.7679138183594,0
"1","Antigua and Barbuda",9.2127571105957,0
"2","Afghanistan",0.0253424271941185,0
"3","Algeria",0.406730771064758,0
"4","Azerbaijan",2.77793264389038,0
"5","Albania",1.22522735595703,0
"6","Armenia",0.94039911031723,0
"7","Andorra",15.997407913208,0
"8","Angola",0.0238540563732386,0.000881489831954241
"9","American Samoa",16.7723236083984,0
"10","Argentina",0.463594555854797,0.00187103333882987
"11","Australia",0.155380308628082,0
"12","Austria",6.28599166870117,0
"13","Anguilla",14.2572937011719,0
"14","Antarctica",0,0.859299838542938
"15","Bahrain",41.0498123168945,0
"16","Barbados",25.4931221008301,0
"17","Botswana",0.046760194003582,0
"18","Bermuda",39.7937126159668,0
"19","Belgium",29.6148166656494,0
"20","Bahamas, The",1.52879130840302,0
"21","Bangladesh",1.86427426338196,0
"22","Belize",0.357276737689972,0
"23","Bosnia and Herzegovina",0.725184857845306,0
"24","Bolivia",0.14111065864563,0
"25","Myanmar (Burma)",0.111081071197987,0
"26","Benin",0.0720673352479935,0
"27","Byelarus",1.70547890663147,0
"28","Solomon Islands",0.0240248199552298,0
"29","Brazil",0.437605053186417,0.000189406753634103
"30","Bhutan",0.0264386590570211,0
"31","Bulgaria",3.10697245597839,0
"32","Bouvet Island",0,0
"33","Brunei",2.31356406211853,0
"34","Burundi",0.141096666455269,0
"35","Canada",0.878571212291718,0.00119572400581092
"36","Cambodia",0.0297841541469097,0
"37","Chad",0.00251363986171782,1.13063333628816e-05
"38","Sri Lanka",2.07267689704895,0
"39","Congo",0.0401134230196476,0
"40","Zaire",0.0216902196407318,0.00469976337626576
"41","China",0.916991233825684,8.40251868794439e-06
"42","Chile",0.357503443956375,0.0210533943027258
"43","Cayman Islands",14.4363594055176,0
"44","Cocos (Keeling) Islands",0,0
"45","Cameroon",0.0484969392418861,3.66904737347795e-06
"46","Comoros",0.431876689195633,0
"47","Colombia",0.737548172473907,1.50494463468931e-06
"48","Northern Mariana Islands",20.566686630249,0
"49","Costa Rica",1.72855746746063,0
"50","Central African Republic",0.00883840676397085,0
"51","Cuba",0.804313242435455,0
"52","Cape Verde",0.743472695350647,0
"53","Cook Islands",3.2909848690033,0
"54","Cyprus",8.4713830947876,0
"55","Denmark",9.67219924926758,0
"56","Djibouti",0.100679658353329,0
"57","Dominica",1.00455796718597,0
"58","Jarvis Island",0,0
"59","Dominican Republic",2.13367605209351,0
"60","Ecuador",1.11263155937195,0
"61","Egypt",1.27923452854156,0
"62","Ireland",3.09393501281738,0
"63","Equatorial Guinea",0.250153213739395,0
"64","Estonia",1.20104467868805,0
"65","Eritrea",0.0297483019530773,0
"66","El Salvador",3.25610876083374,0
"67","Ethiopia",0.0154318204149604,0
"68","Czech Republic",11.1665153503418,0
"69","French Guiana",0.0947714671492577,0
"70","Finland",4.03269052505493,0
"71","Fiji",0.731409311294556,0
"72","Falkland Islands (Islas Malvinas)",0.0474855229258537,0.012064759619534
"73","Federated States of Micronesia",1.97078657150269,0
"74","Faroe Islands",4.44363212585449,0
"75","French Polynesia",2.10101962089539,0
"76","Baker Island",0,0
"77","France",8.29401302337646,0
"78","French Southern & Antarctic Lands",0,0
"79","Gambia, The",0.219397023320198,0
"80","Gabon",0.176317885518074,0
"81","Georgia",0.637327373027802,0
"82","Ghana",0.288801372051239,0
"83","Gibraltar",51.7506675720215,0
"84","Grenada",4.53861618041992,0
"85","Guernsey",39.1231842041016,0
"86","Greenland",0.0127834109589458,0.222200706601143
"87","Germany",11.1375284194946,0
"88","Glorioso Islands",0,0
"89","Guadeloupe",13.8646240234375,0
"90","Guam",32.8959770202637,0
"91","Greece",5.00001573562622,0
"92","Guatemala",0.714356958866119,0
"93","Guinea",0.0646744817495346,0
"94","Guyana",0.0482426583766937,0
"95","Gaza Strip",35.130859375,0
"96","Haiti",0.250863641500473,0
"97","Heard Island & McDonald Islands",0,0.754079818725586
"98","Honduras",0.447070717811584,0
"99","Howland Island",0,0
"100","Croatia",4.00443315505981,0
"101","Hungary",4.72484493255615,0
"102","Iceland",0.649962246417999,0
"103","Indonesia",0.637020587921143,0.000826718402095139
"104","Man, Isle of",9.40911293029785,0
"105","India",2.60353899002075,0
"106","British Indian Ocean Territory",8.41621017456055,0
"107","Iran",1.73280501365662,2.90369698632276e-05
"108","Israel",16.1998825073242,0
"109","Italy",13.5655269622803,0
"110","Ivory Coast",0.132267281413078,0
"111","Iraq",1.46757733821869,0
"112","Japan",12.5272302627563,0
"113","Jersey",29.0191917419434,0
"114","Jamaica",7.63992691040039,0
"116","Jordan",1.80126810073853,0
"117","Johnston Atoll",39.8340492248535,0
"118","Juan De Nova Island",0,0
"119","Kenya",0.0794068947434425,0
"120","Kyrgyzstan",0.532464802265167,0.000367769069271162
"121","North Korea",0.207800999283791,0
"122","Kiribati",0,0
"123","South Korea",15.3914079666138,0
"124","Christmas Island",3.41760540008545,0
"125","Kuwait",15.2074728012085,0
"126","Kazakhstan",0.354781210422516,4.04314369006897e-06
"127","Laos",0.0489476099610329,0
"128","Lebanon",10.5289335250854,0
"129","Latvia",0.830512881278992,0
"130","Lithuania",1.49172365665436,0
"131","Liberia",0.0040226592682302,0
"132","Slovakia",7.11184072494507,0
"133","Liechtenstein",18.5958061218262,0
"134","Lesotho",0.223381772637367,0
"135","Luxembourg",19.4439468383789,0
"136","Libya",0.365505337715149,0
"137","Madagascar",0.0143500017002225,0
"138","Martinique",18.6591529846191,0
"139","Macau",62.6964302062988,0
"140","Moldova",4.25319623947144,0
"141","Mayotte",0.629153311252594,0
"142","Mongolia",0.0183187704533339,0
"143","Montserrat",5.32397651672363,0
"144","Malawi",0.121988043189049,0
"145","Macedonia",2.98688769340515,0
"146","Mali",0.00717088766396046,0
"147","Monaco",59.4013404846191,0
"148","Morocco",0.639883100986481,0
"149","Mauritius",11.7396545410156,0
"150","Midway Islands",6.14193201065063,0
"151","Mauritania",0.0090166088193655,0
"152","Malta",46.6984977722168,0
"153","Oman",0.90554004907608,0
"154","Maldives",1.58747470378876,0
"155","Montenegro",1.12932324409485,0
"156","Mexico",1.76869058609009,0
"157","Malaysia",1.21369791030884,0.00051172764506191
"158","Mozambique",0.0309964437037706,0
"159","New Caledonia",0.48981124162674,0
"160","Niue",0,0
"161","Norfolk Island",4.70310497283936,0
"162","Niger",0.0101311039179564,0
"163","Vanuatu",0.278444051742554,0
"164","Nigeria",0.990866005420685,0
"165","Netherlands",25.4998092651367,0
"166","Norway",3.11385321617126,6.15748795098625e-05
"167","Nepal",0.182290613651276,0
"168","Nauru",13.2041177749634,0
"169","Suriname",0.0824057459831238,0
"170","Netherlands Antilles",15.5810880661011,0
"171","Nicaragua",0.305042862892151,0
"172","New Zealand",0.695880234241486,0.00018319372611586
"173","Paraguay",0.215495198965073,0
"174","Pitcairn Islands",0,0
"175","Peru",0.204909771680832,0.000242639434873126
"176","Paracel Islands",0,0
"177","Spratly Islands",0,0
"178","Pakistan",2.15008759498596,0
"179","Poland",4.05032587051392,0
"180","Panama",0.605511546134949,0
"181","Portugal",6.90871381759644,0
"182","Papua New Guinea",0.0258572325110435,0.0220646392554045
"183","Pacific Islands (Palau)",0.370745688676834,0
"184","Guinea-Bissau",0.0262821111828089,0
"185","Qatar",10.560601234436,0
"186","Reunion",8.36945724487305,0
"187","Marshall Islands",1.15279579162598,0
"188","Romania",1.95521116256714,0
"189","Philippines",0.871993780136108,0
"190","Puerto Rico",30.7734107971191,0
"191","Russia",0.94569730758667,2.23576861912989e-07
"192","Rwanda",0.0775855109095573,3.39724792866036e-05
"193","Saudi Arabia",1.06257903575897,0
"194","St. Pierre and Miquelon",0.447306334972382,0
"195","St. Kitts and Nevis",12.3938722610474,0
"196","Seychelles",6.71579122543335,0
"197","South Africa",1.12409853935242,0
"198","Senegal",0.116960890591145,0
"199","St. Helena",1.28904366493225,0
"200","Slovenia",6.92784976959229,0
"201","Sierra Leone",0.034326359629631,0
"202","San Marino",39.1123199462891,0
"203","Singapore",61.966121673584,0
"204","Somalia",0.00741878664121032,0
"205","Spain",5.91523885726929,0
"206","Serbia",3.47348785400391,0
"207","St. Lucia",8.71191501617432,0
"208","Sudan",0.0415986552834511,0
"210","Sweden",4.04819965362549,0
"211","South Georgia and the South Sandwich Is",0,0.0198365282267332
"212","Syria",3.35391330718994,0
"213","Switzerland",10.4395847320557,0
"214","United Arab Emirates",6.07607364654541,0
"215","Trinidad and Tobago",10.2614984512329,0
"216","Thailand",1.82871007919312,0
"217","Tajikistan",0.854285001754761,7.94771258370019e-05
"218","Turks and Caicos Islands",0.355548322200775,0
"219","Tokelau",0,0
"220","Tonga",4.19978523254395,0
"221","Togo",0.351359695196152,0
"222","Sao Tome and Principe",0.711729764938354,0
"223","Tunisia",1.54219710826874,0
"224","Turkey",1.78494536876678,0
"225","Tuvalu",0,0
"226","Taiwan",14.6586265563965,0
"227","Turkmenistan",0.493261873722076,0
"228","Tanzania, United Republic of",0.043332401663065,0.000123333200463094
"229","Uganda",0.0642928555607796,3.78630829800386e-05
"230","United Kingdom",14.2394647598267,0
"231","Ukraine",4.06407594680786,0
"232","United States",4.36547565460205,3.31304568135238e-06
"233","Burkina Faso",0.037439227104187,0
"234","Uruguay",0.570204615592957,0
"235","Uzbekistan",1.90676951408386,0
"236","St. Vincent and the Grenadines",4.93895530700684,0
"237","Venezuela",1.21713483333588,2.39401470025769e-05
"238","British Virgin Islands",14.5273723602295,0
"239","Vietnam",0.568509578704834,0
"240","Virgin Islands",36.5115394592285,0
"241","Namibia",0.0365643613040447,0
"242","West Bank",16.8210773468018,0
"243","Wallis and Futuna",0.471294790506363,0
"244","Western Sahara",0.0195752996951342,0
"245","Wake Island",4.28234529495239,0
"246","Western Samoa",0.271971255540848,0
"247","Swaziland",0.951234459877014,0
"248","Yemen",0.262889713048935,0
"249","Zambia",0.0890441760420799,0
"250","Zimbabwe",0.242439687252045,0
