"","CNTRY_NAME","mean_lights_weighted","mean_cvg_weighted"
"0","Aruba",40.882640838623,0
"1","Antigua and Barbuda",12.1751441955566,0
"2","Afghanistan",0.031611792743206,0
"3","Algeria",0.520811498165131,0
"4","Azerbaijan",2.26901960372925,0
"5","Albania",2.25774765014648,0
"6","Armenia",1.11804103851318,0
"7","Andorra",19.6578521728516,0
"8","Angola",0.0511728450655937,0
"9","American Samoa",14.6338710784912,0
"10","Argentina",0.711239874362946,0
"11","Australia",0.186987563967705,0
"12","Austria",7.85119915008545,0
"13","Anguilla",18.4429168701172,0
"14","Antarctica",0.00278503261506557,0.00319353421218693
"15","Bahrain",40.494441986084,0
"16","Barbados",31.5489253997803,0
"17","Botswana",0.0854494944214821,0
"18","Bermuda",40.1154136657715,0
"19","Belgium",30.5159282684326,0
"20","Bahamas, The",2.09151816368103,0
"21","Bangladesh",2.77464604377747,0
"22","Belize",0.881880283355713,0
"23","Bosnia and Herzegovina",3.69616842269897,0
"24","Bolivia",0.157215371727943,0
"25","Myanmar (Burma)",0.176938816905022,0
"26","Benin",0.177509188652039,0
"27","Byelarus",2.34716939926147,0
"28","Solomon Islands",0.0186757016927004,0
"29","Brazil",0.686115860939026,0
"30","Bhutan",0.118873082101345,0
"31","Bulgaria",3.74657845497131,0
"32","Bouvet Island",0.103951133787632,0
"33","Brunei",6.71554660797119,0
"34","Burundi",0.146935105323792,0
"35","Canada",1.0538557767868,0.00933417212218046
"36","Cambodia",0.086328886449337,0
"37","Chad",0.00566968787461519,0
"38","Sri Lanka",3.82133626937866,0
"39","Congo",0.0807748436927795,0
"40","Zaire",0.0284696780145168,0
"41","China",1.27421510219574,0
"42","Chile",0.724668145179749,0
"43","Cayman Islands",21.1842308044434,0
"44","Cocos (Keeling) Islands",0.166912257671356,0
"45","Cameroon",0.0987980365753174,0
"46","Comoros",0.718658447265625,0
"47","Colombia",0.983516156673431,3.69879035133636e-06
"48","Northern Mariana Islands",24.1131591796875,0
"49","Costa Rica",4.24652194976807,0
"50","Central African Republic",0.00691086379811168,0
"51","Cuba",2.33921146392822,0
"52","Cape Verde",2.00805449485779,0
"53","Cook Islands",3.00955438613892,0
"54","Cyprus",10.9006443023682,0
"55","Denmark",8.78279495239258,0
"56","Djibouti",0.0994614884257317,0
"57","Dominica",3.03853917121887,0
"58","Jarvis Island",0,0
"59","Dominican Republic",4.41504669189453,0
"60","Ecuador",1.89255559444427,0
"61","Egypt",1.90437865257263,0
"62","Ireland",7.1683235168457,0
"63","Equatorial Guinea",0.243610382080078,0
"64","Estonia",3.29168629646301,0
"65","Eritrea",0.0692440345883369,0
"66","El Salvador",5.85719680786133,0
"67","Ethiopia",0.0413150563836098,0
"68","Czech Republic",13.5308303833008,0
"69","French Guiana",0.143466308712959,0
"70","Finland",6.74226188659668,0
"71","Fiji",0.684201717376709,0
"72","Falkland Islands (Islas Malvinas)",0.172835528850555,0
"73","Federated States of Micronesia",2.34597420692444,0
"74","Faroe Islands",3.31499004364014,0
"75","French Polynesia",3.9118013381958,0
"76","Baker Island",0,0
"77","France",10.1421937942505,0
"78","French Southern & Antarctic Lands",0.00505669042468071,0
"79","Gambia, The",0.333184748888016,0
"80","Gabon",0.373887747526169,0
"81","Georgia",0.678244173526764,0
"82","Ghana",0.676293969154358,0
"83","Gibraltar",50.5584564208984,0
"84","Grenada",9.83986282348633,0
"85","Guernsey",35.2617225646973,0
"86","Greenland",0.00216939672827721,0.0723503082990646
"87","Germany",12.6865825653076,0
"88","Glorioso Islands",0,0
"89","Guadeloupe",18.4247093200684,0
"90","Guam",34.2969284057617,0
"91","Greece",6.29782056808472,0
"92","Guatemala",2.05026817321777,0
"93","Guinea",0.0624343976378441,0
"94","Guyana",0.0758437439799309,0
"95","Gaza Strip",37.3390464782715,0
"96","Haiti",0.410009354352951,0
"97","Heard Island & McDonald Islands",0.195271924138069,0
"98","Honduras",1.30626606941223,0
"99","Howland Island",0,0
"100","Croatia",6.50306749343872,0
"101","Hungary",7.41026544570923,0
"102","Iceland",0.371583431959152,0
"103","Indonesia",1.06418251991272,0
"104","Man, Isle of",11.0266981124878,0
"105","India",3.80926179885864,0
"106","British Indian Ocean Territory",12.4138069152832,0
"107","Iran",2.43630027770996,0
"108","Israel",20.0221309661865,0
"109","Italy",15.8705348968506,0
"110","Ivory Coast",0.534645318984985,0
"111","Iraq",2.14395666122437,0
"112","Japan",14.0162401199341,0
"113","Jersey",29.8582153320312,0
"114","Jamaica",10.0937719345093,0
"116","Jordan",2.36501979827881,0
"117","Johnston Atoll",37.6218605041504,0
"118","Juan De Nova Island",0,0
"119","Kenya",0.147960379719734,0
"120","Kyrgyzstan",0.585762619972229,0
"121","North Korea",0.280353367328644,0
"122","Kiribati",0.254523754119873,0
"123","South Korea",18.0799140930176,0
"124","Christmas Island",3.66781449317932,0
"125","Kuwait",14.945164680481,0
"126","Kazakhstan",0.329344540834427,0
"127","Laos",0.0923073589801788,0
"128","Lebanon",21.8403186798096,0
"129","Latvia",1.81656444072723,0
"130","Lithuania",2.45273995399475,0
"131","Liberia",0.0301069859415293,0
"132","Slovakia",9.3764533996582,0
"133","Liechtenstein",20.720365524292,0
"134","Lesotho",0.344266891479492,0
"135","Luxembourg",22.626335144043,0
"136","Libya",0.487429559230804,0
"137","Madagascar",0.0303521957248449,0
"138","Martinique",25.3183612823486,0
"139","Macau",60.9999961853027,0
"140","Moldova",2.81956005096436,0
"141","Mayotte",4.7952995300293,0
"142","Mongolia",0.0210030749440193,0
"143","Montserrat",4.24293279647827,0
"144","Malawi",0.313314527273178,0
"145","Macedonia",4.26237964630127,0
"146","Mali",0.0214590635150671,0
"147","Monaco",56.2648696899414,0
"148","Morocco",1.01824343204498,0
"149","Mauritius",14.1101732254028,0
"150","Midway Islands",4.98777675628662,0
"151","Mauritania",0.0144017711281776,0
"152","Malta",47.9421615600586,0
"153","Oman",1.597700715065,0
"154","Maldives",4.06866693496704,0
"155","Montenegro",2.07330679893494,0
"156","Mexico",2.42909717559814,0
"157","Malaysia",2.71216297149658,0
"158","Mozambique",0.0531483851373196,0
"159","New Caledonia",0.719433844089508,0
"160","Niue",0.456114023923874,0
"161","Norfolk Island",4.69131231307983,0
"162","Niger",0.0166072156280279,0
"163","Vanuatu",0.201494812965393,0
"164","Nigeria",1.29174220561981,0
"165","Netherlands",25.0011005401611,0
"166","Norway",4.58839178085327,0
"167","Nepal",0.423856407403946,0
"168","Nauru",11.5447425842285,0
"169","Suriname",0.155506789684296,0
"170","Netherlands Antilles",17.5230274200439,0
"171","Nicaragua",0.670817315578461,0
"172","New Zealand",0.92169201374054,0
"173","Paraguay",0.405509352684021,0
"174","Pitcairn Islands",0,0
"175","Peru",0.336335480213165,0
"176","Paracel Islands",0,0
"177","Spratly Islands",0,0
"178","Pakistan",2.66415572166443,0
"179","Poland",9.09619522094727,0
"180","Panama",1.33383822441101,0
"181","Portugal",9.55600929260254,0
"182","Papua New Guinea",0.0924236476421356,0
"183","Pacific Islands (Palau)",1.44728195667267,0
"184","Guinea-Bissau",0.0221354626119137,0
"185","Qatar",13.0702705383301,0
"186","Reunion",11.5105304718018,0
"187","Marshall Islands",1.55143582820892,0
"188","Romania",3.98241996765137,0
"189","Philippines",1.47099661827087,0
"190","Puerto Rico",31.9317893981934,0
"191","Russia",1.11140429973602,1.33716673644813e-06
"192","Rwanda",0.255689054727554,0
"193","Saudi Arabia",1.40730404853821,0
"194","St. Pierre and Miquelon",1.41317820549011,0
"195","St. Kitts and Nevis",13.6689100265503,0
"196","Seychelles",8.43824195861816,0
"197","South Africa",1.44970393180847,0
"198","Senegal",0.211613893508911,0
"199","St. Helena",1.65901970863342,0
"200","Slovenia",8.47507858276367,0
"201","Sierra Leone",0.0325766056776047,0
"202","San Marino",43.8779907226562,0
"203","Singapore",62.3738403320312,0
"204","Somalia",0.00845981761813164,0
"205","Spain",7.38041019439697,0
"206","Serbia",5.2490062713623,0
"207","St. Lucia",12.8771419525146,0
"208","Sudan",0.0694539844989777,0
"210","Sweden",4.96503973007202,0
"211","South Georgia and the South Sandwich Is",0.554959535598755,0
"212","Syria",4.31796646118164,0
"213","Switzerland",12.3228759765625,0
"214","United Arab Emirates",9.1993408203125,0
"215","Trinidad and Tobago",13.6589031219482,0
"216","Thailand",2.86331844329834,0
"217","Tajikistan",0.774049937725067,0
"218","Turks and Caicos Islands",1.41314494609833,0
"219","Tokelau",0,0
"220","Tonga",3.21513533592224,0
"221","Togo",0.26049679517746,0
"222","Sao Tome and Principe",1.15659773349762,0
"223","Tunisia",2.87594604492188,0
"224","Turkey",2.23705339431763,0
"225","Tuvalu",0.570117175579071,0
"226","Taiwan",17.4909515380859,0
"227","Turkmenistan",0.713843882083893,0
"228","Tanzania, United Republic of",0.0713538601994514,0
"229","Uganda",0.144634366035461,0
"230","United Kingdom",14.4078998565674,0
"231","Ukraine",3.6131694316864,0
"232","United States",5.04451751708984,1.18775778901181e-06
"233","Burkina Faso",0.0959258824586868,0
"234","Uruguay",0.887470483779907,0
"235","Uzbekistan",1.94216680526733,0
"236","St. Vincent and the Grenadines",7.84447288513184,0
"237","Venezuela",1.72899317741394,0
"238","British Virgin Islands",17.6517925262451,0
"239","Vietnam",1.76430094242096,0
"240","Virgin Islands",34.8750190734863,0
"241","Namibia",0.0635070279240608,0
"242","West Bank",21.2684288024902,0
"243","Wallis and Futuna",2.3193941116333,0
"244","Western Sahara",0.0286563728004694,0
"245","Wake Island",5.77882289886475,0
"246","Western Samoa",0.806470811367035,0
"247","Swaziland",1.71551764011383,0
"248","Yemen",0.576594352722168,0
"249","Zambia",0.117247208952904,0
"250","Zimbabwe",0.33477196097374,0
